chateau_name,appellation,search_name_ascii,search_name_kana,notes
CHÂTEAU FLEUR LA MOTHE,MÉDOC,CHATEAU FLEUR LA MOTHE,シャトー フルール ラ モトゥ,CRU BOURGEOIS SUPÉRIEUR
CHÂTEAU GREYSAC,MÉDOC,CHATEAU GREYSAC,シャトー グレイサック,CRU BOURGEOIS SUPÉRIEUR
CHÂTEAU LAUJAC,MÉDOC,CHATEAU LAUJAC,シャトー ロージャック,CRU BOURGEOIS SUPÉRIEUR
CHÂTEAU LOUSTEAUNEUF,MÉDOC,CHATEAU LOUSTEAUNEUF,シャトー ラストゥーヌフ,CRU BOURGEOIS SUPÉRIEUR
CHÂTEAU NOAILLAC,MÉDOC,CHATEAU NOAILLAC,シャトー ノアイヤック,CRU BOURGEOIS SUPÉRIEUR
CHÂTEAU PIERRE DE MONTIGNAC,MÉDOC,CHATEAU PIERRE DE MONTIGNAC,シャトー ピエール ド モンティニャック,CRU BOURGEOIS SUPÉRIEUR
CHÂTEAU POITEVIN,MÉDOC,CHATEAU POITEVIN,シャトー ポワトヴァン,CRU BOURGEOIS SUPÉRIEUR
CHÂTEAU PREUILLAC,MÉDOC,CHATEAU PREUILLAC,シャトー プルイヤック,CRU BOURGEOIS SUPÉRIEUR
CHÂTEAU SAINT HILAIRE,MÉDOC,CHATEAU SAINT HILAIRE,シャトー サン ティレール,CRU BOURGEOIS SUPÉRIEUR
CHÂTEAU SAINT HILAIRE,MÉDOC,CHATEAU SAINT HILAIRE,シャトー サン イレール,CRU BOURGEOIS SUPÉRIEUR
CHÂTEAU TOUR SERAN,MÉDOC,CHATEAU TOUR SERAN,シャトー トゥール セラン,CRU BOURGEOIS SUPÉRIEUR
CHÂTEAU LES TUILERIES,MÉDOC,CHATEAU LES TUILERIES,シャトー レ チュイルリー,CRU BOURGEOIS SUPÉRIEUR
CHÂTEAU LES TUILERIES,MÉDOC,CHATEAU LES TUILERIES,シャトー レ トゥイルリー,CRU BOURGEOIS SUPÉRIEUR
CHÂTEAU BALAC,HAUT-MÉDOC,CHATEAU BALAC,シャトー バラック,CRU BOURGEOIS SUPÉRIEUR
CHÂTEAU BEAUMONT,HAUT-MÉDOC,CHATEAU BEAUMONT,シャトー ボーモン,CRU BOURGEOIS SUPÉRIEUR
CHÂTEAU BEL AIR GLORIA,HAUT-MÉDOC,CHATEAU BEL AIR GLORIA,シャトー ベレール グロリア,CRU BOURGEOIS SUPÉRIEUR
CHÂTEAU BERNADOTTE,HAUT-MÉDOC,CHATEAU BERNADOTTE,シャトー ベルナドット,CRU BOURGEOIS SUPÉRIEUR
CHÂTEAU BIBIAN,HAUT-MÉDOC,CHATEAU BIBIAN,シャトー ビビアン,CRU BOURGEOIS SUPÉRIEUR
CHÂTEAU DU CARTILLON,HAUT-MÉDOC,CHATEAU DU CARTILLON,シャトー デュ カルティヨン,CRU BOURGEOIS SUPÉRIEUR
CHÂTEAU CISSAC,HAUT-MÉDOC,CHATEAU CISSAC,シャトー シサック,CRU BOURGEOIS SUPÉRIEUR
CHÂTEAU CLEMENT PICHON,HAUT-MÉDOC,CHATEAU CLEMENT PICHON,シャトー クレマン ピション,CRU BOURGEOIS SUPÉRIEUR
CHÂTEAU DILLON,HAUT-MÉDOC,CHATEAU DILLON,シャトー ディロン,CRU BOURGEOIS SUPÉRIEUR
CHÂTEAU DOYAC,HAUT-MÉDOC,CHATEAU DOYAC,シャトー ドヤック,CRU BOURGEOIS SUPÉRIEUR
CHÂTEAU DOYAC,HAUT-MÉDOC,CHATEAU DOYAC,シャトー ドワイヤック,CRU BOURGEOIS SUPÉRIEUR
CHÂTEAU FONTESTEAU,HAUT-MÉDOC,CHATEAU FONTESTEAU,シャトー フォンテストー,CRU BOURGEOIS SUPÉRIEUR
CHÂTEAU LABAT,HAUT-MÉDOC,CHATEAU LABAT,シャトー ラバ,CRU BOURGEOIS SUPÉRIEUR
CHÂTEAU LAMOTHE BERGERON,HAUT-MÉDOC,CHATEAU LAMOTHE BERGERON,シャトー ラモット ベルジュロン,CRU BOURGEOIS SUPÉRIEUR
CHÂTEAU LAROSE PERGANSON,HAUT-MÉDOC,CHATEAU LAROSE PERGANSON,シャトー ラローズ ペルガンソン,CRU BOURGEOIS SUPÉRIEUR
CHÂTEAU LAROSE TRINTAUDON,HAUT-MÉDOC,CHATEAU LAROSE TRINTAUDON,シャトー ラローズ トラントドン,CRU BOURGEOIS SUPÉRIEUR
CHÂTEAU LESTAGE SIMON,HAUT-MÉDOC,CHATEAU LESTAGE SIMON,シャトー レスタージュ シモン,CRU BOURGEOIS SUPÉRIEUR
CHÂTEAU MEYRE,HAUT-MÉDOC,CHATEAU MEYRE,シャトー メール,CRU BOURGEOIS SUPÉRIEUR
CHÂTEAU DU MOULIN ROUGE,HAUT-MÉDOC,CHATEAU DU MOULIN ROUGE,シャトー デュ ムーラン ルージュ,CRU BOURGEOIS SUPÉRIEUR
CHÂTEAU PALOUMEY,HAUT-MÉDOC,CHATEAU PALOUMEY,シャトー パルメイ,CRU BOURGEOIS SUPÉRIEUR
CHÂTEAU PEYRABON,HAUT-MÉDOC,CHATEAU PEYRABON,シャトー ペイラボン,CRU BOURGEOIS SUPÉRIEUR
CHÂTEAU PEYRAT FOURTHON,HAUT-MÉDOC,CHATEAU PEYRAT FOURTHON,シャトー ペイラ フルトン,CRU BOURGEOIS SUPÉRIEUR
CHÂTEAU PONTOISE CABARRUS,HAUT-MÉDOC,CHATEAU PONTOISE CABARRUS,シャトー ポントワーズ カバル,CRU BOURGEOIS SUPÉRIEUR
CHÂTEAU PONTOISE CABARRUS,HAUT-MÉDOC,CHATEAU PONTOISE CABARRUS,シャトー ポントワーズ カバリュス,CRU BOURGEOIS SUPÉRIEUR
CHÂTEAU RAMAGE LA BATISSE,HAUT-MÉDOC,CHATEAU RAMAGE LA BATISSE,シャトー ラマージュ ラ バティス,CRU BOURGEOIS SUPÉRIEUR
CHÂTEAU DU RETOUT,HAUT-MÉDOC,CHATEAU DU RETOUT,シャトー デュ ルトゥー,CRU BOURGEOIS SUPÉRIEUR
CHÂTEAU DU RETOUT,HAUT-MÉDOC,CHATEAU DU RETOUT,シャトー デュ ルトゥ,CRU BOURGEOIS SUPÉRIEUR
CHÂTEAU DU RETOUT,HAUT-MÉDOC,CHATEAU DU RETOUT,シャトー デュ ルトー,CRU BOURGEOIS SUPÉRIEUR
CHÂTEAU REYSSON,HAUT-MÉDOC,CHATEAU REYSSON,シャトー レイソン,CRU BOURGEOIS SUPÉRIEUR
CHÂTEAU CAP LEON VEYRIN,LISTRAC-MÉDOC,CHATEAU CAP LEON VEYRIN,シャトー カップ レオン ヴェイラン,CRU BOURGEOIS SUPÉRIEUR
CHÂTEAU CAP LEON VEYRIN,LISTRAC-MÉDOC,CHATEAU CAP LEON VEYRIN,シャトー カップ レオン ヴェラン,CRU BOURGEOIS SUPÉRIEUR
CHÂTEAU FONREAUD,LISTRAC-MÉDOC,CHATEAU FONREAUD,シャトー フォンレオー,CRU BOURGEOIS SUPÉRIEUR
CHÂTEAU FOURCAS BORIE,LISTRAC-MÉDOC,CHATEAU FOURCAS BORIE,シャトー フルカ ボリー,CRU BOURGEOIS SUPÉRIEUR
CHÂTEAU REVERDI,LISTRAC-MÉDOC,CHATEAU REVERDI,シャトー ルヴェルディ,CRU BOURGEOIS SUPÉRIEUR
CHÂTEAU SARANSOT DUPRE,LISTRAC-MÉDOC,CHATEAU SARANSOT DUPRE,シャトー サロンソ デュプレ,CRU BOURGEOIS SUPÉRIEUR
CHÂTEAU BISTON BRILLETTE,MOULIS-EN-MÉDOC,CHATEAU BISTON BRILLETTE,シャトー ビストン ブリイェット,CRU BOURGEOIS SUPÉRIEUR
CHÂTEAU BISTON BRILLETTE,MOULIS-EN-MÉDOC,CHATEAU BISTON BRILLETTE,シャトー ビストン ブリエット,CRU BOURGEOIS SUPÉRIEUR
CHÂTEAU CAROLINE,MOULIS-EN-MÉDOC,CHATEAU CAROLINE,シャトー カロリーヌ,CRU BOURGEOIS SUPÉRIEUR
CHÂTEAU LALAUDEY,MOULIS-EN-MÉDOC,CHATEAU LALAUDEY,シャトー ラローデイ,CRU BOURGEOIS SUPÉRIEUR
CHÂTEAU LA MOULINE,MOULIS-EN-MÉDOC,CHATEAU LA MOULINE,シャトー ラ ムーリン,CRU BOURGEOIS SUPÉRIEUR
CHÂTEAU DEYREM VALENTIN,MARGAUX,CHATEAU DEYREM VALENTIN,シャトー デュレム バランタン,CRU BOURGEOIS SUPÉRIEUR
CHÂTEAU MONGRAVEY,MARGAUX,CHATEAU MONGRAVEY,シャトー モングラヴェイ,CRU BOURGEOIS SUPÉRIEUR
CHÂTEAU LA TOUR DE MONS,MARGAUX,CHATEAU LA TOUR DE MONS,シャトー ラ トゥール ド モン,CRU BOURGEOIS SUPÉRIEUR
CHÂTEAU DE CÔME,SAINT-ESTÈPHE,CHATEAU DE COME,シャトー ド コム,CRU BOURGEOIS SUPÉRIEUR
CHÂTEAU LAFFITTE CARCASSET,SAINT-ESTÈPHE,CHATEAU LAFFITTE CARCASSET,シャトー ラフィット カルカッセ,CRU BOURGEOIS SUPÉRIEUR
CHÂTEAU PETIT BOCQ,SAINT-ESTÈPHE,CHATEAU PETIT BOCQ,シャトー プティ ボック,CRU BOURGEOIS SUPÉRIEUR
CHÂTEAU PETIT BOCQ,SAINT-ESTÈPHE,CHATEAU PETIT BOCQ,シャトー プティ ボク,CRU BOURGEOIS SUPÉRIEUR
CHÂTEAU SERILHAN,SAINT-ESTÈPHE,CHATEAU SERILHAN,シャトー セリラン,CRU BOURGEOIS SUPÉRIEUR
CHÂTEAU TOUR DES TERMES,SAINT-ESTÈPHE,CHATEAU TOUR DES TERMES,シャトー トゥール デ テルム,CRU BOURGEOIS SUPÉRIEUR
