chateau_name,appellation,search_name_ascii,search_name_kana,notes
CHÂTEAU DUCRU-BEAUCAILLOU,SAINT-JULIEN,CHATEAU DUCRU-BEAUCAILLOU,シャトー デュクリュ ボーカイユ,2EME CRU CLASSE
CHÂTEAU COS D'ESTOURNEL,SAINT-ESTÈPHE,CHATEAU COS D'ESTOURNEL,シャトー コス デストゥルネル,2EME CRU CLASSE
CHÂTEAU MONTROSE,SAINT-ESTÈPHE,CHATEAU MONTROSE,シャトー モンローズ,2EME CRU CLASSE
CHÂTEAU KIRWAN,MARGAUX,CHATEAU KIRWAN,シャトー キルヴァン,3EME CRU CLASSE
CHÂTEAU D'ISSAN,MARGAUX,CHATEAU D'ISSAN,シャトー ディッサン,3EME CRU CLASSE
CHÂTEAU LAGRANGE,SAINT-JULIEN,CHATEAU LAGRANGE,シャトー ラグランジュ,3EME CRU CLASSE
CHÂTEAU LANGOA BARTON,SAINT-JULIEN,CHATEAU LANGOA BARTON,シャトー ランゴア バルトン,3EME CRU CLASSE
CHÂTEAU GISCOURS,MARGAUX,CHATEAU GISCOURS,シャトー ジスクール,3EME CRU CLASSE
CHÂTEAU MALESCOT ST. EXUPÉRY,MARGAUX,CHATEAU MALESCOT ST EXUPERY,シャトー マレスコ サン テグジュペリ,3EME CRU CLASSE
CHÂTEAU BOYD-CANTENAC,MARGAUX,CHATEAU BOYD-CANTENAC,シャトー ボイド カントナック,3EME CRU CLASSE
CHÂTEAU CANTENAC-BROWN,MARGAUX,CHATEAU CANTENAC-BROWN,シャトー カントナック ブラウン,3EME CRU CLASSE
CHÂTEAU PALMER,MARGAUX,CHATEAU PALMER,シャトー パルメ,3EME CRU CLASSE
CHÂTEAU LA LAGUNE,HAUT-MÉDOC,CHATEAU LA LAGUNE,シャトー ラ ラギューヌ,3EME CRU CLASSE
CHÂTEAU DESMIRAIL,MARGAUX,CHATEAU DESMIRAIL,シャトー デスミライユ,3EME CRU CLASSE
CHÂTEAU CALON-SÉGUR,SAINT-ESTÈPHE,CHATEAU CALON-SEGUR,シャトー カロン セギュール,3EME CRU CLASSE
CHÂTEAU FERRIÈRE,MARGAUX,CHATEAU FERRIERE,シャトー フェリエール,3EME CRU CLASSE
CHÂTEAU MARQUIS D'ALESME BECKER,MARGAUX,CHATEAU MARQUIS D'ALESME BECKER,シャトー マルキ ダレム ベッケー,3EME CRU CLASSE
CHÂTEAU SAINT-PIERRE,SAINT-JULIEN,CHATEAU SAINT-PIERRE,シャトー サン ピエール,4EME CRU CLASSE
CHÂTEAU TALBOT,SAINT-JULIEN,CHATEAU TALBOT,シャトー タルボ,4EME CRU CLASSE
CHÂTEAU BRANAIRE-DUCRU,SAINT-JULIEN,CHATEAU BRANAIRE-DUCRU,シャトー ブラネール デュクリュ,4EME CRU CLASSE
CHÂTEAU DUHART-MILON,PAUILLAC,CHATEAU DUHART-MILON,シャトー デュアール ミロン,4EME CRU CLASSE
CHÂTEAU POUGET,MARGAUX,CHATEAU POUGET,シャトー プジェ,4EME CRU CLASSE
CHÂTEAU LA TOUR CARNET,HAUT-MÉDOC,CHATEAU LA TOUR CARNET,シャトー ラ トゥール カルネ,4EME CRU CLASSE
CHÂTEAU LAFON-ROCHET,SAINT-ESTÈPHE,CHATEAU LAFON-ROCHET,シャトー ラフォン ロシェ,4EME CRU CLASSE
CHÂTEAU BEYCHEVELLE,SAINT-JULIEN,CHATEAU BEYCHEVELLE,シャトー ベイシュヴェル,4EME CRU CLASSE
CHÂTEAU PRIEURÉ-LICHINE,MARGAUX,CHATEAU PRIEURE-LICHINE,シャトー プリウレ リシーヌ,4EME CRU CLASSE
CHÂTEAU MARQUIS DE TERME,MARGAUX,CHATEAU MARQUIS DE TERME,シャトー マルキ ド テルム,4EME CRU CLASSE
CHÂTEAU PONTET-CANET,PAUILLAC,CHATEAU PONTET-CANET,シャトー ポンテ カネ,5EME CRU CLASSE
CHÂTEAU BATAILLEY,PAUILLAC,CHATEAU BATAILLEY,シャトー バタイエ,5EME CRU CLASSE
CHÂTEAU HAUT-BATAILLEY,PAUILLAC,CHATEAU HAUT-BATAILLEY,シャトー オー バタイエ,5EME CRU CLASSE
CHÂTEAU GRAND-PUY-LACOSTE,PAUILLAC,CHATEAU GRAND-PUY-LACOSTE,シャトー グラン ピュイ ラコスト,5EME CRU CLASSE
CHÂTEAU GRAND-PUY-DUCASSE,PAUILLAC,CHATEAU GRAND-PUY-DUCASSE,シャトー グラン ピュイ デュカス,5EME CRU CLASSE
CHÂTEAU LYNCH-BAGES,PAUILLAC,CHATEAU LYNCH-BAGES,シャトー ランシュ バージュ,5EME CRU CLASSE
CHÂTEAU LYNCH-MOUSSAS,PAUILLAC,CHATEAU LYNCH-MOUSSAS,シャトー ランシュ ムーサ,5EME CRU CLASSE
CHÂTEAU DAUZAC,MARGAUX,CHATEAU DAUZAC,シャトー ドーザック,5EME CRU CLASSE
CHÂTEAU D'ARMAILHAC,PAUILLAC,CHATEAU D'ARMAILHAC,シャトー ダルマイヤック,5EME CRU CLASSE
CHÂTEAU DU TERTRE,MARGAUX,CHATEAU DU TERTRE,シャトー デュ テルトル,5EME CRU CLASSE
CHÂTEAU HAUT-BAGES LIBÉRAL,PAUILLAC,CHATEAU HAUT-BAGES LIBERAL,シャトー オー バージュ リベラル,5EME CRU CLASSE
CHÂTEAU PÉDESCLAUX,PAUILLAC,CHATEAU PEDESCLAUX,シャトー ペデスクロー,5EME CRU CLASSE
CHÂTEAU BELGRAVE,HAUT-MÉDOC,CHATEAU BELGRAVE,シャトー ベルグラーヴ,5EME CRU CLASSE
CHÂTEAU DE CAMENSAC,HAUT-MÉDOC,CHATEAU DE CAMENSAC,シャトー ド カマンサック,5EME CRU CLASSE
CHÂTEAU COS LABORY,SAINT-ESTÈPHE,CHATEAU COS LABORY,シャトー コス ラボリ,5EME CRU CLASSE
CHÂTEAU CLERC MILON,PAUILLAC,CHATEAU CLERC MILON,シャトー クレール ミロン,5EME CRU CLASSE
CHÂTEAU CROIZET-BAGES,PAUILLAC,CHATEAU CROIZET-BAGES,シャトー クロワゼ バージュ,5EME CRU CLASSE
CHÂTEAU CANTEMERLE,HAUT-MÉDOC,CHATEAU CANTEMERLE,シャトー カントメルル,5EME CRU CLASSE
